Cluster ID,,title,org,id
48,981,"“Kann man da eben mal was eintragen und visualisieren?” Digitaler Praxistest für die DARIAH-DE-Infrastruktur 
                     2018","Herzog August Bibliothek Wolfenbüttel, Deutschland",../dhd_2018/TEI/KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali.xml__0
48,982,"“Kann man da eben mal was eintragen und visualisieren?” Digitaler Praxistest für die DARIAH-DE-Infrastruktur 
                     2018","Herzog August Bibliothek Wolfenbüttel, Deutschland",../dhd_2018/TEI/KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali.xml__1
50,983,"“Kann man da eben mal was eintragen und visualisieren?” Digitaler Praxistest für die DARIAH-DE-Infrastruktur 
                     2018","Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",../dhd_2018/TEI/KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali.xml__2
408,984,Wenn der Funke überspringt – Word Embeddings im Dienst der Wissenschaftsgeschichte 2018,"Graduiertenkolleg „Modell Romantik“, Friedrich-Schiller-Universität Jena, Jena, Deutschland",../dhd_2018/TEI/HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.xml__0
85,985,Wenn der Funke überspringt – Word Embeddings im Dienst der Wissenschaftsgeschichte 2018,"Jena University Language & Information Engineering Lab (JULIE Lab), Friedrich-Schiller-Universität Jena, Jena, Deutschland",../dhd_2018/TEI/HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.xml__1
409,986,Wenn der Funke überspringt – Word Embeddings im Dienst der Wissenschaftsgeschichte 2018,"Graduiertenkolleg „Modell Romantik“, Friedrich-Schiller-Universität Jena, Jena, Deutschland",../dhd_2018/TEI/HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.xml__2
85,987,Wenn der Funke überspringt – Word Embeddings im Dienst der Wissenschaftsgeschichte 2018,"Jena University Language & Information Engineering Lab (JULIE Lab), Friedrich-Schiller-Universität Jena, Jena, Deutschland",../dhd_2018/TEI/HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.xml__3
28,988,Digital Dylan – Computergestützte Analyse der Liedtexte von Bob Dylan (1962 – 2016) 2018,"Lehrstuhl für Medieninformatik, Universität Regensburg",../dhd_2018/TEI/BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d.xml__0
28,989,Digital Dylan – Computergestützte Analyse der Liedtexte von Bob Dylan (1962 – 2016) 2018,"Lehrstuhl für Medieninformatik, Universität Regensburg",../dhd_2018/TEI/BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d.xml__1
28,990,Digital Dylan – Computergestützte Analyse der Liedtexte von Bob Dylan (1962 – 2016) 2018,"Lehrstuhl für Medieninformatik, Universität Regensburg",../dhd_2018/TEI/BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d.xml__2
30,991,Digitale Modellierung von Figurenkomplexität am Beispiel des Parzival von Wolfram von Eschenbach 2018,"Institut für Literaturwissenschaft, Universität Stuttgart",../dhd_2018/TEI/KLINGER_Roman_Digitale_Modellierung_von_Figurenkomplexit_t_a.xml__0
