Cluster ID,,title,org,id
8,1099,Embedded Humanities 2018,"Universität Würzburg, Deutschland",../dhd_2018/TEI/PIELSTR_M_Steffen__Embedded_Humanities.xml__0
435,1100,Embedded Humanities 2018,"Universität Antwerpen, Belgien",../dhd_2018/TEI/PIELSTR_M_Steffen__Embedded_Humanities.xml__1
43,1101,Kritik der Digitalität (am Beispiel der digitalen Textwissenschaft) 2018,"Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden (SLUB), Deutschland",../dhd_2018/TEI/GARC_S_Juan_Kritik_der_Digitalit_t__am_Beispiel_der_digitale.xml__0
12,1102,Kritik der Digitalität (am Beispiel der digitalen Textwissenschaft) 2018,"Technische Universität Dresden, Institut für Philosophie",../dhd_2018/TEI/GARC_S_Juan_Kritik_der_Digitalit_t__am_Beispiel_der_digitale.xml__1
436,1103,"Principles Aiding in Reading Abbreviations in OldGeorgian and Latin 
                     2018","Goethe Universität Frankfurt, Germany",../dhd_2018/TEI/HOENEN_Armin_Principles_Aiding_in_Reading_Abbreviations_in_O.xml__0
437,1104,"Principles Aiding in Reading Abbreviations in OldGeorgian and Latin 
                     2018","Goethe Universität Frankfurt, Germany",../dhd_2018/TEI/HOENEN_Armin_Principles_Aiding_in_Reading_Abbreviations_in_O.xml__1
5,1105,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Universität Passau, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__0
5,1106,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Universität Passau, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__1
5,1107,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Universität Passau, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__2
5,1108,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Universität Passau, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__3
12,1109,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Technische Universität Darmstadt, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__4
60,1110,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Ludwig-Maximilians-Universität München, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__5
59,1111,"Der ferne Blick. Bildkorpora und Computer Vision in den Geistes- und Kulturwissenschaften - Stand - Visionen - Implikationen 
                     2018","Ruprecht-Karls-Universität Heidelberg, Deutschland",../dhd_2018/TEI/DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml__6
438,1112,Workshop eComparatio: Textvergleich und digitaler Apparat 2018,"Universität Leipzig\Historisches Seminar, Deutschland",../dhd_2018/TEI/SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml__0
439,1113,Workshop eComparatio: Textvergleich und digitaler Apparat 2018,"Universität Leipzig\Historisches Seminar, Deutschland",../dhd_2018/TEI/SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml__1
440,1114,Workshop eComparatio: Textvergleich und digitaler Apparat 2018,"Universität Leipzig\Historisches Seminar, Deutschland",../dhd_2018/TEI/SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml__2
441,1115,Workshop eComparatio: Textvergleich und digitaler Apparat 2018,"Universität Leipzig\Historisches Seminar, Deutschland",../dhd_2018/TEI/SCHUBERT_Charlotte_Workshop_eComparatio__Textvergleich_und_d.xml__3
22,1116,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Institut für Dokumentologie und Editorik e.V.,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__0
47,1117,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Berlin-Brandenburgische Akademie der Wissenschaften,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__1
22,1118,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Institut für Dokumentologie und Editorik e.V.,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__2
24,1119,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Universität Würzburg,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__3
22,1120,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Institut für Dokumentologie und Editorik e.V.,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__4
23,1121,"Alles ist im Fluss - Ressourcen und Rezensionen in den Digital Humanities. 
                     2018",Universität zu Köln/CCeH,../dhd_2018/TEI/NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml__5
